Distance Apart (m),0.5,1.0,1.5,2.0,0.5 Resolution (pixels/cm),1.0 Resolution (pixels/cm),1.5 Resolution (pixels/cm),2.0 Resolution (pixels/cm)
0.5,1.3265373693201181,3.1530747386402362,4.979612107960355,6.8061494772804725,7.883769717429889,3.9418848587149444,2.627923239143296,1.9709424293574722
1.0,0.8265373693201181,2.6530747386402362,4.479612107960355,6.3061494772804725,7.883769717429889,3.9418848587149444,2.627923239143296,1.9709424293574722
1.5,0.3265373693201181,2.1530747386402362,3.979612107960355,5.8061494772804725,7.883769717429889,3.9418848587149444,2.627923239143296,1.9709424293574722
2.0,-0.17346263067988188,1.6530747386402362,3.479612107960355,5.3061494772804725,7.883769717429889,3.9418848587149444,2.627923239143296,1.9709424293574722
